gender,yearsExperience,yearsSchool,wage,,STD,AVG,COV
female,37,22,5.81822636,,,,
female,10,12,5.3588927,,,,
female,49,13,7.143282338,,,,
female,14,0,5.599636033,,,,
female,29,22,3.8277805,,,,
female,39,1,8.071322821,,,,
female,21,32,3.943917493,,,,
female,31,31,6.345541401,,,,
female,9,49,5.483612435,,,,
female,32,38,6.9801937,,,,
female,7,40,10.04701244,,,,
female,47,8,5.51200392,,,,
female,5,38,6.255686988,,,,
female,32,19,3.234474522,,,,
female,28,7,1.918321469,,,,
female,15,47,11.09104161,,,,
female,17,29,5.184417123,,,,
female,35,29,5.136634477,,,,
female,29,15,4.241819428,,,,
female,9,25,3.902835019,,,,
female,46,27,6.78035751,,,,
female,14,32,1.026185421,,,,
female,19,12,4.593064402,,,,
female,13,41,0.438681449,,,,
female,11,41,7.34933856,,,,
female,15,45,4.5933366,,,,
female,16,7,4.724574788,,,,
female,18,16,4.81721351,,,,
female,17,16,8.530482257,,,,
female,35,20,6.195187114,,,,
female,23,43,4.704690214,,,,
female,20,35,5.083341382,,,,
female,2,0,5.790387956,,,,
female,13,25,5.103707333,,,,
female,25,18,6.99083424,,,,
female,9,49,4.316205292,,,,
female,31,18,7.710027441,,,,
female,6,41,5.710983902,,,,
female,40,5,1.981929756,,,,
female,7,31,5.817587064,,,,
female,6,13,3.67466928,,,,
female,32,47,2.75600196,,,,
female,45,12,4.948149708,,,,
female,31,15,3.98089172,,,,
female,46,2,4.157144941,,,,
female,23,37,4.744451957,,,,
female,38,33,6.613622026,,,,
female,13,38,2.737575968,,,,
female,16,28,5.249527543,,,,
female,47,37,3.985178834,,,,
female,10,8,7.96178344,,,,
female,42,7,6.118256233,,,,
female,44,21,3.14299224,,,,
female,27,45,6.1244488,,,,
female,3,4,4.862157826,,,,
female,1,26,1.809496236,,,,
female,22,15,2.381094113,,,,
female,22,18,3.67466928,,,,
female,5,44,6.984020561,,,,
female,28,14,12.2488976,,,,
female,44,49,7.34933856,,,,
female,45,28,1.978082842,,,,
female,35,26,3.21533562,,,,
female,30,0,4.727821919,,,,
female,5,10,8.729671182,,,,
female,13,46,6.654624964,,,,
female,19,4,4.626702241,,,,
female,32,40,3.0622244,,,,
female,43,13,5.906195715,,,,
female,11,45,4.479596836,,,,
female,17,8,3.36844684,,,,
female,46,33,2.807039033,,,,
female,6,36,7.724118262,,,,
female,26,37,3.694563081,,,,
female,31,25,6.498828198,,,,
female,10,35,2.389198514,,,,
female,30,14,4.5933366,,,,
female,35,37,4.5933366,,,,
female,42,26,4.082965866,,,,
female,33,19,2.456077154,,,,
female,17,24,7.655561,,,,
female,30,29,3.164932547,,,,
female,20,37,4.942537628,,,,
female,29,5,3.67466928,,,,
female,46,28,2.022040239,,,,
female,29,15,9.799118079,,,,
female,7,47,7.582650895,,,,
female,23,37,2.990341198,,,,
female,38,11,4.28711416,,,,
female,15,33,4.5933366,,,,
female,23,7,1.213224143,,,,
female,10,48,6.1244488,,,,
female,46,44,7.146308556,,,,
female,44,14,3.361641897,,,,
female,21,21,2.14355708,,,,
female,41,44,1.959823616,,,,
female,9,2,4.32211101,,,,
female,44,22,0.10289074,,,,
female,19,24,2.547770701,,,,
female,15,21,7.96178344,,,,
female,13,15,6.573949629,,,,
female,38,37,4.28711416,,,,
female,34,13,3.293844718,,,,
female,25,13,6.910770436,,,,
female,13,7,4.447923709,,,,
female,33,4,0.779929806,,,,
female,23,48,4.723091871,,,,
female,17,9,3.931744908,,,,
female,35,2,1.350408499,,,,
female,2,26,3.538570418,,,,
female,22,4,2.87054786,,,,
female,8,20,2.481113909,,,,
female,13,48,4.13400294,,,,
female,11,1,1.532954694,,,,
female,27,5,2.44977952,,,,
female,36,42,4.461344169,,,,
female,12,33,4.042913691,,,,
female,2,4,3.36844684,,,,
female,18,9,5.108725208,,,,
female,19,23,7.259984899,,,,
female,48,47,8.26800588,,,,
female,40,11,3.21533562,,,,
female,47,8,4.914681136,,,,
female,48,21,5.639596603,,,,
female,9,25,4.303666724,,,,
female,32,47,4.5933366,,,,
female,2,39,2.71865776,,,,
female,10,47,4.405367206,,,,
female,30,8,2.382875702,,,,
female,27,44,7.96178344,,,,
female,31,31,4.78904267,,,,
female,23,13,9.609696183,,,,
female,38,24,0.931202742,,,,
female,29,8,2.820118603,,,,
female,2,22,3.510707658,,,,
female,47,43,3.98089172,,,,
female,24,39,5.51200392,,,,
female,41,5,2.948808681,,,,
female,2,46,4.5933366,,,,
female,2,19,4.478503185,,,,
female,2,24,3.042114269,,,,
female,11,47,3.578329636,,,,
female,29,3,5.203780026,,,,
female,31,8,2.615465091,,,,
female,4,5,2.799748023,,,,
female,0,2,6.548653046,,,,
female,17,24,4.485511797,,,,
female,14,9,2.621163272,,,,
female,30,4,7.834054293,,,,
female,0,37,6.278434941,,,,
female,2,47,4.5933366,,,,
female,46,49,6.43067124,,,,
female,25,34,5.247725439,,,,
female,13,28,12.53589145,,,,
female,18,34,2.279884296,,,,
female,3,27,7.655561,,,,
female,21,48,4.89955904,,,,
female,18,10,9.836952512,,,,
female,36,42,7.34933856,,,,
female,18,20,4.460532763,,,,
female,20,39,1.764622737,,,,
female,35,1,6.587087018,,,,
female,40,48,3.791325447,,,,
female,30,33,5.81822636,,,,
female,44,49,9.560115199,,,,
female,7,38,3.137648646,,,,
female,5,6,4.793848534,,,,
female,1,35,0.518894236,,,,
female,19,10,2.943358018,,,,
female,40,29,3.392412074,,,,
female,33,9,6.137208068,,,,
female,32,12,4.385411563,,,,
female,48,17,3.67466928,,,,
female,40,5,2.817246448,,,,
female,15,9,3.919647232,,,,
female,22,9,2.923671296,,,,
female,9,40,6.08842263,,,,
female,46,47,1.709543111,,,,
female,5,14,9.186673199,,,,
female,15,22,2.529781146,,,,
female,10,43,4.81316883,,,,
female,42,5,4.018565774,,,,
female,43,16,3.186705067,,,,
female,45,39,1.569608735,,,,
female,22,3,3.0622244,,,,
female,4,36,4.89955904,,,,
female,14,13,5.157430568,,,,
female,38,25,1.708537219,,,,
female,10,29,5.756259933,,,,
female,14,46,5.741364527,,,,
female,36,15,9.907997169,,,,
female,6,24,2.370019256,,,,
female,6,6,4.777070064,,,,
female,40,44,3.36844684,,,,
female,3,18,7.96178344,,,,
female,15,30,3.000979912,,,,
female,44,33,4.834479508,,,,
female,33,18,5.05267026,,,,
female,10,29,6.43067124,,,,
female,0,0,0.7655561,,,,
female,29,14,5.200269476,,,,
female,23,47,3.480561066,,,,
female,26,32,0.92954832,,,,
female,24,12,1.876164479,,,,
female,38,3,4.28711416,,,,
female,9,30,3.755558226,,,,
female,12,46,3.67466928,,,,
female,14,20,15.92356688,,,,
female,4,3,5.408256426,,,,
female,49,36,5.136634477,,,,
female,11,17,1.712211492,,,,
female,42,2,4.46076152,,,,
female,6,48,2.901327864,,,,
female,35,49,6.044524743,,,,
female,35,8,8.26800588,,,,
female,40,25,6.285618505,,,,
female,2,35,5.66511514,,,,
female,7,2,5.66511514,,,,
female,48,26,3.184713376,,,,
female,48,7,5.861435661,,,,
female,23,9,6.511873995,,,,
female,22,28,1.777750688,,,,
female,5,20,6.824385805,,,,
female,3,12,4.246284501,,,,
female,2,16,5.389514944,,,,
female,8,31,2.978508913,,,,
female,29,12,1.633186347,,,,
female,16,32,2.75600196,,,,
female,37,21,3.970909371,,,,
female,28,17,6.260547662,,,,
female,15,9,3.257093225,,,,
female,34,8,3.155133995,,,,
female,9,27,6.1244488,,,,
female,36,36,3.693891739,,,,
female,42,36,3.115480476,,,,
female,9,10,0.91866732,,,,
female,0,32,12.2488976,,,,
female,15,12,1.728474017,,,,
female,8,40,5.587216449,,,,
female,46,22,4.443786106,,,,
female,0,29,3.272940467,,,,
female,49,0,3.67466928,,,,
female,30,24,5.144536992,,,,
female,5,36,5.208643372,,,,
female,39,10,6.451247451,,,,
female,45,44,4.5933366,,,,
female,7,30,3.896468241,,,,
female,25,29,5.017930739,,,,
female,13,4,5.756981872,,,,
female,23,4,0.42462845,,,,
female,27,18,5.090641842,,,,
female,20,42,5.867435083,,,,
female,36,48,4.608370776,,,,
female,38,17,4.28711416,,,,
female,30,19,4.472912045,,,,
female,32,44,7.123700972,,,,
female,22,9,8.54956611,,,,
female,43,30,10.41156296,,,,
female,12,20,3.033060358,,,,
female,10,13,5.97133758,,,,
female,0,10,5.443954489,,,,
female,41,11,2.256883495,,,,
female,23,38,5.661712668,,,,
female,48,0,2.547770701,,,,
female,11,43,5.902171507,,,,
female,28,31,2.878490936,,,,
female,36,4,3.710345681,,,,
female,31,49,7.64713567,,,,
female,30,40,4.489727504,,,,
female,49,30,4.21943356,,,,
female,8,13,6.1244488,,,,
female,35,12,3.98089172,,,,
female,11,14,5.119633796,,,,
female,15,3,3.386820186,,,,
female,26,20,1.654396559,,,,
female,31,19,8.932732639,,,,
female,49,25,5.136634477,,,,
female,48,23,3.98089172,,,,
female,0,44,5.75261824,,,,
female,10,4,8.173158221,,,,
female,34,33,7.593266606,,,,
female,18,28,10.41940365,,,,
female,27,13,4.491262453,,,,
female,16,30,4.014344591,,,,
female,5,45,3.089647305,,,,
female,25,16,3.77335708,,,,
female,49,4,5.97133758,,,,
female,26,20,3.821656051,,,,
female,20,47,5.81822636,,,,
female,40,10,4.005928775,,,,
female,10,6,5.51200392,,,,
female,32,3,6.73689368,,,,
female,19,27,9.43618778,,,,
female,4,8,7.04311612,,,,
female,1,33,7.306574329,,,,
female,49,28,6.649401554,,,,
female,22,15,9.199309614,,,,
female,9,45,7.655561,,,,
female,40,47,7.607210088,,,,
female,21,12,7.27417487,,,,
female,23,44,3.36844684,,,,
female,47,9,2.870835375,,,,
female,14,11,5.696235306,,,,
female,27,37,6.270420118,,,,
female,29,4,4.303666724,,,,
female,4,18,11.45271926,,,,
female,38,42,1.248907206,,,,
female,35,13,5.072604407,,,,
female,6,45,7.014787171,,,,
female,46,48,6.43067124,,,,
female,6,13,6.73689368,,,,
female,31,42,3.67466928,,,,
female,4,1,0.449606594,,,,
female,39,26,7.483284932,,,,
female,35,32,3.214852619,,,,
female,13,46,3.292001323,,,,
female,36,12,5.059327269,,,,
female,39,30,3.0622244,,,,
female,12,25,3.033060358,,,,
female,3,39,3.642874957,,,,
female,18,39,3.461644974,,,,
female,43,37,4.5933366,,,,
female,47,36,6.859382656,,,,
female,48,13,5.192467461,,,,
female,44,29,9.072366198,,,,
female,23,41,7.96178344,,,,
female,24,40,2.44977952,,,,
female,37,17,14.69867712,,,,
female,0,0,0.428711416,,,,
female,12,31,7.96178344,,,,
female,6,43,7.34933856,,,,
female,4,38,5.055100597,,,,
female,29,36,5.184880887,,,,
female,27,47,3.631690692,,,,
female,8,3,4.985278765,,,,
female,5,43,0.07655561,,,,
female,35,11,0.474739882,,,,
female,48,22,7.092902841,,,,
female,46,44,2.73222287,,,,
female,3,2,4.022795843,,,,
female,27,4,4.935876526,,,,
female,42,13,3.67466928,,,,
female,12,7,3.309366168,,,,
female,43,8,5.373709915,,,,
female,42,35,4.757471828,,,,
female,12,48,2.662803826,,,,
female,11,34,5.294280548,,,,
female,32,47,3.266372693,,,,
female,28,17,4.840764331,,,,
female,27,42,1.185797534,,,,
female,18,0,4.157126872,,,,
female,2,43,6.73689368,,,,
female,48,30,2.846671174,,,,
female,17,29,2.75600196,,,,
female,21,3,3.98089172,,,,
female,38,2,6.030627456,,,,
female,49,14,5.374494398,,,,
female,18,49,2.14355708,,,,
female,43,9,4.5933366,,,,
female,7,47,3.36844684,,,,
female,11,13,5.751175397,,,,
female,40,14,6.14809532,,,,
female,29,43,2.774677675,,,,
female,45,5,4.765157171,,,,
female,23,22,2.44977952,,,,
female,47,4,7.012212938,,,,
female,26,35,8.165931733,,,,
female,47,28,3.54330383,,,,
female,17,17,2.370754374,,,,
female,35,36,7.730702654,,,,
female,19,11,3.36844684,,,,
female,27,23,6.1244488,,,,
female,19,16,4.5933366,,,,
female,49,35,3.746721619,,,,
female,48,47,5.97133758,,,,
female,36,8,1.887237556,,,,
female,26,1,1.838749062,,,,
female,45,15,2.60289074,,,,
female,35,7,3.0622244,,,,
female,37,34,5.802109389,,,,
female,13,4,7.34933856,,,,
female,32,20,1.481262035,,,,
female,26,14,4.828504129,,,,
female,28,45,6.499415053,,,,
female,33,37,3.67466928,,,,
female,6,35,5.729114009,,,,
female,21,2,6.824385805,,,,
female,22,32,3.245957864,,,,
female,12,46,4.769121528,,,,
female,23,42,3.463455255,,,,
female,47,35,5.51200392,,,,
female,20,0,5.890345331,,,,
female,39,27,3.256353145,,,,
female,34,4,3.860258637,,,,
female,18,14,4.845942187,,,,
female,47,40,8.097882302,,,,
female,0,24,4.103004963,,,,
female,4,6,3.36844684,,,,
female,47,9,4.28711416,,,,
female,16,45,5.276448197,,,,
female,25,35,4.777070064,,,,
female,26,36,4.87456129,,,,
female,28,35,3.735913768,,,,
female,12,22,5.81822636,,,,
female,47,46,4.019411076,,,,
female,32,27,5.681648276,,,,
female,0,0,7.655561,,,,
female,28,25,7.34933856,,,,
female,30,17,4.683402023,,,,
female,12,2,5.790387956,,,,
female,6,22,2.048972321,,,,
female,39,16,2.322186837,,,,
female,27,47,9.926379353,,,,
female,10,7,4.97611465,,,,
female,8,12,3.796975709,,,,
female,13,13,4.814429201,,,,
female,18,11,2.270700637,,,,
female,32,4,5.573248408,,,,
female,35,31,7.372021703,,,,
female,2,22,6.472994666,,,,
female,45,2,1.582466274,,,,
female,46,12,3.244977239,,,,
female,30,48,0.603165412,,,,
female,2,19,1.979839576,,,,
female,8,45,7.34933856,,,,
female,11,0,4.962845011,,,,
female,29,17,3.221889018,,,,
female,48,23,5.107559188,,,,
female,35,40,4.685555312,,,,
female,4,47,2.211606511,,,,
female,23,37,2.274795268,,,,
female,45,13,2.64448323,,,,
female,9,27,7.413806442,,,,
female,6,46,7.263381383,,,,
female,49,32,7.588673652,,,,
female,46,38,7.469477001,,,,
female,6,11,2.658963729,,,,
female,48,38,5.725940145,,,,
female,46,43,2.75600196,,,,
female,47,19,4.33663098,,,,
female,4,23,8.982524906,,,,
female,38,46,7.702562583,,,,
female,3,27,3.63967243,,,,
female,48,24,2.671049928,,,,
female,5,25,5.614078066,,,,
female,22,23,5.111331157,,,,
female,38,10,5.397327452,,,,
female,9,43,2.365304364,,,,
female,14,17,7.019492826,,,,
female,12,16,4.526766504,,,,
female,7,44,9.624133828,,,,
female,41,9,7.091467031,,,,
female,7,9,4.549590537,,,,
female,41,36,5.520169851,,,,
female,26,38,2.522545248,,,,
female,41,22,10.55706091,,,,
female,18,24,7.699307062,,,,
female,7,9,6.026848022,,,,
female,25,4,5.0417626,,,,
female,11,43,5.010365193,,,,
female,29,43,3.98089172,,,,
female,19,12,3.778473497,,,,
female,3,26,4.491262453,,,,
female,4,3,0.22966683,,,,
female,39,10,6.170382166,,,,
female,21,12,12.2488976,,,,
female,23,5,3.98089172,,,,
female,48,15,0.444792371,,,,
female,29,9,4.431749441,,,,
female,23,11,3.0622244,,,,
female,27,15,2.507799298,,,,
female,43,2,3.10703744,,,,
female,45,38,6.634819533,,,,
female,1,22,6.025133414,,,,
female,6,0,5.696962273,,,,
female,4,24,12.31203625,,,,
female,13,28,3.890122202,,,,
female,30,45,2.75600196,,,,
female,3,28,5.175159236,,,,
female,10,22,2.705294158,,,,
female,31,2,4.184513117,,,,
female,31,0,3.935215116,,,,
female,2,47,4.382633086,,,,
female,23,48,10.89908753,,,,
female,43,7,7.396192266,,,,
female,49,28,6.43067124,,,,
female,12,44,14.09165211,,,,
female,16,18,6.824385805,,,,
female,25,27,3.605335897,,,,
female,24,30,5.692797148,,,,
female,21,5,2.411501715,,,,
female,25,37,5.3588927,,,,
female,19,7,0.425811259,,,,
female,3,46,3.0622244,,,,
female,40,27,2.456693291,,,,
female,13,14,6.73689368,,,,
female,34,21,12.6697458,,,,
female,1,41,2.412661648,,,,
female,43,5,2.573505758,,,,
female,4,8,9.83442113,,,,
female,35,25,0.614414156,,,,
female,23,38,6.61602401,,,,
female,8,28,15.12738854,,,,
female,18,18,9.392703044,,,,
female,19,10,4.960803528,,,,
female,4,38,4.893285597,,,,
female,24,0,2.211606511,,,,
female,18,34,3.36844684,,,,
female,44,49,5.527188503,,,,
female,34,35,7.545627144,,,,
female,31,2,5.132871375,,,,
female,40,12,9.366804047,,,,
female,3,3,5.932309229,,,,
female,45,15,3.794552107,,,,
female,42,9,3.899649032,,,,
female,8,40,8.57422832,,,,
female,47,18,6.27756002,,,,
female,41,39,3.67466928,,,,
female,45,0,1.196136479,,,,
female,23,48,3.0622244,,,,
female,4,19,5.71249036,,,,
female,40,18,6.792408557,,,,
female,4,39,3.116157902,,,,
female,22,46,7.563694268,,,,
female,27,26,3.849653531,,,,
female,5,47,5.372524908,,,,
female,17,42,3.054725075,,,,
female,2,43,9.590330052,,,,
female,16,22,12.39598581,,,,
female,38,42,5.925048141,,,,
female,29,27,4.948500251,,,,
female,28,32,3.919647232,,,,
female,21,11,3.0622244,,,,
female,2,49,3.268521623,,,,
female,7,44,11.15418936,,,,
female,0,10,2.98566879,,,,
female,11,13,6.103013229,,,,
female,4,34,4.144963179,,,,
female,20,19,6.369426752,,,,
female,44,11,2.989065455,,,,
female,12,38,6.272920286,,,,
female,21,28,5.367494454,,,,
female,29,34,4.371175222,,,,
female,23,4,4.409603136,,,,
female,14,38,4.06935598,,,,
female,8,15,3.960265338,,,,
female,33,40,6.73689368,,,,
female,0,9,0.962149056,,,,
female,48,39,6.532745386,,,,
female,36,35,5.502817246,,,,
female,16,31,2.751372247,,,,
female,27,20,2.864023429,,,,
female,32,3,6.555045769,,,,
female,3,46,4.777070064,,,,
female,43,4,4.963189677,,,,
female,28,36,6.1244488,,,,
female,47,42,6.708226047,,,,
female,41,17,6.093826556,,,,
female,47,15,8.917197452,,,,
female,17,33,5.2588759,,,,
female,7,2,3.021990795,,,,
female,41,17,3.821656051,,,,
female,13,18,5.51200392,,,,
female,28,45,5.51200392,,,,
female,28,43,3.10703744,,,,
female,3,26,8.083028873,,,,
female,37,8,21.23142251,,,,
female,26,22,5.81822636,,,,
female,16,46,4.930714654,,,,
female,36,2,4.413634821,,,,
female,6,3,7.417320548,,,,
female,28,34,3.67466928,,,,
female,43,7,5.81822636,,,,
female,29,11,3.223551344,,,,
female,33,16,1.621177623,,,,
female,0,10,1.015857536,,,,
female,4,44,6.379634166,,,,
female,27,20,3.5850432,,,,
female,24,14,2.75600196,,,,
female,10,12,0.772988683,,,,
female,6,43,2.137391527,,,,
female,23,37,3.552180304,,,,
female,47,4,4.305158463,,,,
female,33,15,3.574678279,,,,
female,9,48,10.12806374,,,,
female,21,17,4.444599986,,,,
female,43,24,4.74644782,,,,
female,36,32,5.91587624,,,,
female,25,49,5.310621575,,,,
female,45,20,8.698449463,,,,
female,21,4,15.311122,,,,
female,4,4,2.810041214,,,,
female,22,23,8.022329321,,,,
female,2,17,7.872325199,,,,
female,33,21,12.94883461,,,,
female,13,32,3.527682509,,,,
female,1,12,7.1700864,,,,
female,25,0,8.359872612,,,,
female,29,24,7.111342906,,,,
female,30,25,11.18476047,,,,
female,4,4,8.57422832,,,,
female,13,24,2.997377295,,,,
female,19,33,9.317865676,,,,
female,19,20,6.244536031,,,,
female,24,34,2.123142251,,,,
female,14,24,2.394521335,,,,
female,14,14,7.143282338,,,,
female,9,39,5.902822674,,,,
female,18,13,7.736145852,,,,
female,10,11,3.651263743,,,,
female,27,4,2.665032114,,,,
female,30,14,32.49740023,,,,
female,5,2,8.4211171,,,,
female,7,2,6.08842263,,,,
female,15,42,1.559604983,,,,
female,1,40,6.032582068,,,,
female,21,37,5.879470848,,,,
female,2,31,8.727339539,,,,
female,39,3,2.75600196,,,,
female,46,29,11.77778615,,,,
female,3,17,7.662960719,,,,
female,3,30,6.87701603,,,,
female,45,2,7.04311612,,,,
female,26,6,5.854252529,,,,
female,21,26,0.91121985,,,,
female,19,44,1.633186347,,,,
female,41,0,9.016549622,,,,
female,0,48,2.701427542,,,,
female,16,22,7.926812209,,,,
female,26,47,5.81822636,,,,
female,31,19,8.271982794,,,,
female,12,6,6.769127621,,,,
female,33,17,8.293524416,,,,
female,22,7,7.205233882,,,,
female,14,45,6.42458735,,,,
female,21,33,7.283128302,,,,
female,32,5,5.068509351,,,,
female,9,11,8.369811763,,,,
female,30,48,7.232505774,,,,
female,41,45,5.175327703,,,,
female,6,44,4.108247389,,,,
female,16,30,4.28711416,,,,
female,8,46,8.71605766,,,,
female,22,17,6.73689368,,,,
female,33,5,4.173936272,,,,
female,23,27,3.44500245,,,,
female,0,3,9.186673199,,,,
female,27,10,7.519125259,,,,
female,29,22,3.011549292,,,,
female,42,46,4.144963179,,,,
female,10,14,16.0035848,,,,
female,22,45,3.094458341,,,,
female,32,33,11.02400784,,,,
female,1,21,1.811554821,,,,
female,16,47,7.655561,,,,
female,11,33,6.43067124,,,,
female,33,7,4.072758452,,,,
female,46,25,1.903506845,,,,
female,13,6,6.050405377,,,,
female,28,44,2.626567733,,,,
female,7,49,3.791325447,,,,
female,20,13,5.092407612,,,,
female,16,15,7.306574329,,,,
female,8,1,4.485511797,,,,
female,16,17,12.28389445,,,,
female,47,21,2.98566879,,,,
female,46,15,15.311122,,,,
female,38,25,1.215650591,,,,
female,0,38,4.396751094,,,,
female,32,25,3.552180304,,,,
female,48,6,6.186397247,,,,
female,46,40,2.562413061,,,,
female,1,47,2.597154802,,,,
female,16,9,4.644373673,,,,
female,21,10,2.578715284,,,,
female,25,37,4.206225213,,,,
female,39,33,4.5933366,,,,
female,19,7,1.592356688,,,,
female,6,18,2.740819743,,,,
female,37,38,4.44022538,,,,
female,28,40,1.693996477,,,,
female,10,47,6.369426752,,,,
female,27,27,1.920097462,,,,
female,40,47,7.262437597,,,,
female,26,33,3.67466928,,,,
female,11,1,3.67466928,,,,
female,31,21,3.821656051,,,,
female,38,18,7.655561,,,,
female,40,26,9.670857372,,,,
female,14,23,6.72098602,,,,
female,36,35,7.100959567,,,,
female,20,33,10.79563856,,,,
female,9,19,9.274165325,,,,
female,23,38,4.078334442,,,,
female,17,23,5.81822636,,,,
female,44,29,7.134982852,,,,
female,13,34,3.899649032,,,,
female,14,28,8.846426044,,,,
female,13,21,4.28711416,,,,
female,37,4,20.99811017,,,,
female,9,11,6.630290646,,,,
female,5,44,3.98089172,,,,
female,23,2,2.695102998,,,,
female,42,44,7.655561,,,,
female,8,34,6.84884597,,,,
female,33,30,5.573248408,,,,
female,35,30,0.668706221,,,,
female,27,39,5.253135465,,,,
female,8,16,8.082052072,,,,
female,41,26,3.345807827,,,,
female,26,39,10.1481026,,,,
female,9,27,7.34933856,,,,
female,1,34,3.0622244,,,,
female,0,22,2.929220274,,,,
female,27,10,4.158842178,,,,
female,13,25,7.129955319,,,,
female,42,28,5.389514944,,,,
female,1,24,1.091901729,,,,
female,42,38,4.5933366,,,,
female,27,48,5.05267026,,,,
female,38,21,3.145089616,,,,
female,34,44,4.639149406,,,,
female,37,38,6.1244488,,,,
female,29,34,30.86217086,,,,
female,3,36,9.186673199,,,,
female,14,21,10.31319098,,,,
female,38,46,6.73689368,,,,
female,25,37,7.696390658,,,,
female,9,44,16.97182677,,,,
female,25,20,6.824385805,,,,
female,17,15,4.506669871,,,,
female,9,15,4.187849393,,,,
female,0,16,3.175640118,,,,
female,35,41,5.20578148,,,,
female,23,2,2.196354052,,,,
female,41,36,4.382357708,,,,
female,21,12,4.5933366,,,,
female,39,15,4.5933366,,,,
female,4,31,6.43067124,,,,
female,16,4,3.9156312,,,,
female,26,29,3.0622244,,,,
female,45,44,5.836242158,,,,
female,28,24,7.34933856,,,,
female,35,4,8.757961783,,,,
female,12,4,10.79563856,,,,
female,30,25,5.790387956,,,,
female,18,21,2.388535032,,,,
female,8,16,2.912570107,,,,
female,32,37,7.113065408,,,,
female,45,41,2.113079965,,,,
female,36,15,7.47512186,,,,
female,37,7,1.190547056,,,,
female,46,12,7.412694926,,,,
female,37,18,2.547770701,,,,
female,20,38,10.46405824,,,,
female,18,38,7.430997877,,,,
female,20,26,3.376021246,,,,
female,44,3,6.1244488,,,,
female,37,18,3.284235669,,,,
female,48,40,6.73689368,,,,
female,41,23,4.712075913,,,,
female,47,14,8.074831075,,,,
female,28,19,4.352683429,,,,
female,8,18,15.311122,,,,
female,11,47,2.324608304,,,,
female,34,12,7.19622734,,,,
female,48,4,9.737873591,,,,
female,17,49,3.184713376,,,,
female,49,48,9.275864201,,,,
female,46,47,6.162154289,,,,
female,13,6,5.780867222,,,,
female,39,2,7.96178344,,,,
female,43,11,4.643608683,,,,
female,42,4,2.763974965,,,,
female,2,30,2.881090737,,,,
female,38,45,2.717332232,,,,
female,7,7,1.836628244,,,,
female,21,20,2.75600196,,,,
female,44,40,4.559345909,,,,
female,33,42,3.035095969,,,,
female,25,20,3.98089172,,,,
female,45,39,6.1244488,,,,
female,14,39,12.86134248,,,,
female,3,12,7.839294464,,,,
female,33,35,2.803444873,,,,
female,34,31,13.99874011,,,,
female,15,27,2.919320595,,,,
female,0,11,10.41156296,,,,
female,21,6,5.529016277,,,,
female,35,17,4.409603136,,,,
female,39,26,4.89955904,,,,
female,11,17,5.671239588,,,,
female,33,24,4.13400294,,,,
female,16,39,7.251719262,,,,
female,4,23,8.957006369,,,,
female,19,16,11.63645272,,,,
female,6,40,3.27645409,,,,
